match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23578,1999-06-05,South Korea,Belgium,1.0,2.0,Friendly,Seoul,South Korea,False
23579,1999-06-05,Spain,San Marino,9.0,0.0,UEFA Euro qualification,Villarreal,Spain,False
23580,1999-06-05,Trinidad and Tobago,Grenada,7.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
23581,1999-06-05,Uganda,Liberia,1.0,0.0,African Cup of Nations qualification,Kampala,Uganda,False
23582,1999-06-05,Ukraine,Andorra,4.0,0.0,UEFA Euro qualification,Kyiv,Ukraine,False
23583,1999-06-06,Burkina Faso,Senegal,2.0,2.0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False
23584,1999-06-06,Cameroon,Eritrea,1.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False
23585,1999-06-06,Canada,Ecuador,1.0,2.0,Friendly,Edmonton,Canada,False
23586,1999-06-06,Gabon,Angola,3.0,1.0,African Cup of Nations qualification,Libreville,Gabon,False
23587,1999-06-06,Guatemala,Iran,2.0,2.0,Friendly,Edmonton,Canada,True
23588,1999-06-06,Haiti,Saint Kitts and Nevis,2.0,0.0,CFU Caribbean Cup,Macoya,Trinidad and Tobago,True
23589,1999-06-06,Israel,Austria,5.0,0.0,UEFA Euro qualification,Ramat Gan,Israel,False
23590,1999-06-06,Japan,Peru,0.0,0.0,Kirin Cup,Yokohama,Japan,False
23591,1999-06-06,Kenya,DR Congo,0.0,1.0,African Cup of Nations qualification,Nairobi,Kenya,False
23592,1999-06-06,Mali,Congo,3.0,1.0,African Cup of Nations qualification,Bamako,Mali,False
